split,label,model_guess,confidence,line,source_file,line_no
eval,,unclear,0.40,privilege level 15,batfish_iosxe_basic_vrrp.txt,142
train,,ssh_enabled:false,0.40,set internet-service disable,user_contrib_fg100e_fos7213.conf,32336
train,,password_encryption:type7,0.40,encrypted-password $6$km/6j4hX0Ayo$dk2z5LeUOayHopgLGZJII0whBMidnvsd4LfT6LcIcR9ReabX0kcXjZOlmmqDGWuo1FvpnV.X2IRl5NeEZpuI31,metasploit-vyos-config.conf,39
train,,password_encryption:type7,0.41,"set service ""IKE""",kevinguenay_fgt_70g_branch.conf,11911
train,,unclear,0.41,encrypted-password $6$5BlhDtYATek1wNyq$VmV1kibxHoHdv5VZVOUuyflCF.CdfC0adJAi2TvJ2OnEyoVV6k6WPi9024/64IoNjfbrdHte1sO1xVw2xkawd0,pc5-round3b-routere.conf,186
train,,password_encryption:none,0.41,username admin password 5 $5$fakeSALT$fakeHashExampleValue000000000000000000000,busterswt_spine_leaf_xk32_1_nxos9312.txt,112
eval,,unclear,0.42,encrypted-password $6$tv35FGLJH9f1q17P$YWNaT6RwH2xSXLQxYgXSzUAzQgEvUJ4Dx.zkPJa6YwVd5ZLAoKMq5s1f19iWdRWwSh5HxCSYzlqfJSLZ0LfUl0,pc5-round3b-routerb.conf,85
train,,unclear,0.42,no preempt,azsupport_TOR1_Sample.cfg,44
eval,,unclear,0.42,set auth-mode-l1 password,user_contrib_fg100e_fos7213.conf,34674
train,,password_encryption:type7,0.42,encrypted-password $6$HUawQVmi4rZUmxsW$BEz2w5GZA7euBP5u43QN3B6vGXr0PsvtXkeMkSuy4ypATg7q0z5KMSgoQrbyXtz/hqglxEHmQpUH7iLLM36un/,pc5-round3b-routerd.conf,89
eval,,unclear,0.43,no autorun,aruba_central_5memberstack_rendered.cfg,155
train,,unclear,0.43,Disable unnecessary services,01-global-hardening.txt,23
train,,ssh_enabled:true,0.43,service-policy input 200M,racc_csr1000v_iosxe169_bgp_ospf.txt,160
eval,,unclear,0.43,no mmi pvc,batfish_iosxe_basic_vrrp.txt,27
train,,unclear,0.43,"edit ""ServiceMax-SSH""",kevinguenay_fgt_70g_branch.conf,4193
train,,unclear,0.43,set deviceconfig setting logging log-suppression no,iron_skillet_panos_full.conf,80
eval,,logging_enabled:false,0.43,no logging event port link-status,busterswt_spine_leaf_xk32_1_nxos9312.txt,292
train,,password_encryption:none,0.44,username netops password 5 $5$KitchenSink$opshashvalue002 role network-operator,kitchen_sink.cfg,18
train,,unclear,0.44,"DHCP server pools, RADIUS, local users, syslog, banner, BGP/OSPF.",kitchen_sink.xml,34
train,,unclear,0.44,<password>$2b$10$fakeAJhashNetopsAccountPlaceholderObviouslySynthetic000</password>,kitchen_sink.xml,118
eval,,unclear,0.44,"set service ""ALL""",kevinguenay_fgt_70g_branch.conf,11821
train,,unclear,0.44,dcbx enable,azlocal_tor1.txt,24
eval,,logging_enabled:false,0.44,no logging event port trunk-status,busterswt_spine_leaf_xk32_1_nxos9312.txt,293
train,,password_encryption:type7,0.45,<h1>Password Expired</h1>,user_contrib_fg100e_fos7213.conf,8850
train,,unclear,0.45,no bandwidth inherit,batfish_cisco_interface.txt,15
train,,unclear,0.45,transmit disable,iosxr_design_cst_pa3_xr752.cfg,12
eval,,unclear,0.45,set auth-mode-l2 password,user_contrib_fg100e_fos7213.conf,34675
eval,,unclear,0.45,"password manager user-name ""admin"" sha1",user_contrib_2930m_wc1611.cfg,18
train,,password_encryption:none,0.45,set save-password disable,user_contrib_fg100e_fos7213.conf,27616
train,,logging_enabled:true,0.45,set login-timestamp disable,user_contrib_fg100e_fos7213.conf,122
train,,unclear,0.45,username admin password <redacted> $5$fakeSalt$fakeHashExampleValueAdminAcct0000000000  role network-admin,nautobot_gc_nxos_snmp_spine01_nxos933.txt,110
train,,unclear,0.45,set egress-pri-tagging disable,user_contrib_fg100e_fos7213.conf,33789
train,,password_encryption:type7,0.45,/ip service,routeros_diff_verbose_export.rsc,363
train,,password_encryption:none,0.45,username ec2-user privilege 15,racc_csr1_iosxe173_umbrella_sig.txt,146
eval,,unclear,0.46,no shut,xrdtools_sr_xrd1.cfg,33
train,,password_encryption:none,0.46,username netops password $6$TTTTTTTT$CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC role netoperator priv-lvl 2,kitchen_sink.cfg,16
train,,unclear,0.46,"edit ""SSH Logs""",kevinguenay_fgt_70g_branch.conf,7830
eval,,unclear,0.46,set dhcp6-relay-service disable,user_contrib_fg100e_fos7213.conf,422
train,,unclear,0.47,set diffserv disable,user_contrib_fg100e_fos7213.conf,26259
train,,unclear,0.47,user admin group administrators password ciphertext xxxxx,netutils_aoscx_snmpv3_glcx1009.cfg,19
train,,password_encryption:none,0.47,set password ENC fakeAuditorHashGGGGGGGGGGGGGG==,kitchen_sink.conf,152
train,,logging_enabled:true,0.47,"edit ""Microsoft-Azure.OneDsCollector""",kevinguenay_fgt_70g_branch.conf,5933
eval,,password_encryption:type7,0.47,service {,houdev_vyos_dhcpv6_pd_client.conf,224
eval,,password_encryption:type5,0.47,add address=10.0.0.10 secret=fake-radius-shared-secret-1 service=login \,kitchen_sink.rsc,88
train,,unclear,0.47,set log enable,kevinguenay_fgt_70g_branch.conf,11742
train,,unclear,0.47,<!-- Syslog — wire-format documentation; not parsed into,kitchen_sink.xml,334
train,,unclear,0.47,"<rulesets>28c7037e-5c14-487b-b51e-717ee75bf8e7,a3062cf6-f243-4e7b-bb71-ea78dc15ec5e,32a8ee21-960b-4652-abc0-7d616422a350,620b52e3-3445-4303-93b6-0c4260d362bb,d28b07f8-8735-432e-a91f-e4db05aecb34,77fb317e-290b-488f-8dcc-bb69731a3ea8,1daa61de-95f3-463a-885d-ec862be7f9c3,894c25df-2c3d-4af4-8937-161542e94e87,9ad23833-a5a8-4d4c-b795-df4fbf46a354,74edcab4-bee9-494c-a26c-0c2aca5ae65b,390f563b-f6fd-470d-af0a-ac44fe4bc568,77166749-9622-4e90-9918-f0aefcd24aa5,8c1e7169-9977-4e1b-b291-ee0762e2935f,3584eb27-0e5d-41a0-985e-5da99c7c0043,bca4d76a-1480-4cdd-a3c4-6fa981353e6a,45e41ca8-e52d-4664-8d56-ac72c0645dda,aa71da61-3806-4e09-8f94-3f5e8ddfc750,140353f3-3fe5-4cb6-a3a6-5042042dba4a</rulesets>",user_contrib_supergate_opn25.xml,2342
train,,unclear,0.47,neighbor EVPN-OVERLAY-PEERS password 7 Jvf4RYGH+51PCxaLRIwJLA==,batfish_eos_evpn_vlan_based_leaf.txt,247
train,,unclear,0.47,privilege exec level 5 show,user_contrib_cat9300_iosxe1712.txt,473
train,,password_encryption:type7,0.47,"<service uuid=""e90af2f5-c01b-4ebe-9c3e-d9c7884d6310"">",user_contrib_supergate_opn25.xml,3046
train,,unclear,0.47,<password>$2b$10$fakeAJhashReadonlyAccountPlaceholderObviouslySynthet111</password>,kitchen_sink.xml,126
train,,unclear,0.47,<td>Web Filter Service Error</td>,user_contrib_fg100e_fos7213.conf,4164
train,,unclear,0.48,set mode none,user_contrib_fg100e_fos7213.conf,21759
train,,unclear,0.48,CF474486 7706BABE 9C59B385 4A00CF37 0907EE00 1A45FD19 639D3457 89A114A8,cml_saumur_iosxe1712_pvrstp.txt,68
train,,unclear,0.48,neighbor EVPN-OVERLAY-PEERS password 7 q+VNViP5i4rVjW1cxFv2wA==,batfish_labval_dc1_leaf2a_eos4230.txt,336
train,,logging_enabled:true,0.48,"set message ""%%log%%""",user_contrib_fg100e_fos7213.conf,21875
train,,ssh_enabled:false,0.48,set udplite disabled=no,routeros_diff_verbose_export.rsc,342
eval,,logging_enabled:true,0.48,<descr>Enable TCP extended debugging</descr>,opnsense_docs_carp_ha_backup.xml,133
train,,unclear,0.48,set password ENC 4bnptAcOPFpAkiq+zbZaP80c67BH+HqVLE69Vb80lEQFYWa095yu64UvaUp4uVwnfEQp/+0nI4zMNWm6v9im3APCfzBdIxobOxRArv41rlD3SSKNvETugnZbIpdq+KyWxJgxr8uwYUiLr67f5Eh6rHr8/AswEXWNHYj51RHZxImt4D2KAv3/hCEsWslPVvyar5ZLollmMjY3dkVA,kevinguenay_fgt_vm_hub.conf,10209
eval,,telnet_enabled:false,0.48,set infected none,user_contrib_fg100e_fos7213.conf,29030
train,,unclear,0.48,"set system login user admin authentication encrypted-password ""$6$fakeAdmin$fakeAdminHash01234567890123""",kitchen_sink.set,47
eval,,unclear,0.48,30E43A8B CE18F79B 44A1B522 63A791C7 3FFA12B5 791BA096 0375A01B 77B5DEF3,cml_saumur_iosxe1712_pvrstp.txt,72
train,,unclear,0.48,no service pad,01-global-hardening.txt,8
train,,unclear,0.48,encrypted-password $6$8cXre.UraT7V3kMY$tK1NowJx7m3hF.ejKUsd8QTVHCUMh2aAIRpT23YZGCaQonFDvbzzd7zOvlxsP3ZtGRVIBBjCMpAED4wJlEc3X.,pc5-round1-border.conf,46
train,,logging_enabled:true,0.48,"add action=syslog disabled=no prefix="""" topics=!debug",routeros_diff_verbose_export.rsc,442
train,,unclear,0.48,service-policy input VIPSIP_POLICY_2048_V1,ntc_carrier_interfaces.txt,16
train,,password_encryption:type7,0.48,password manager,hpe_community_2920_wb1608_dhcp_snooping.cfg,82
eval,,unclear,0.48,service-policy input VIPSIP_POLICY_800_V1,ntc_carrier_interfaces.txt,83
eval,,password_encryption:type7,0.49,set type password,user_contrib_fg100e_fos7213.conf,27139
train,,unclear,0.49,"edit ""Shodan-Scanner""",kevinguenay_fgt_70g_branch.conf,5597
train,,password_encryption:type7,0.49,password 3 fedcba9876543210fedcba9876543210,akarneliuk_evpn_vxlan_mcast_leaf_c1l1_nxos939.txt,252
train,,logging_enabled:true,0.49,set system syslog source-address 10.200.1.1,saidvandeklundert_snmpv3_junos172.set,50
train,,password_encryption:type5,0.49,"add address=10.0.0.11 secret=fake-radius-shared-secret-2 service=login,dhcp \",kitchen_sink.rsc,90
train,,unclear,0.49,"set description ""An SSH event has occurred.""",kevinguenay_fgt_70g_branch.conf,7831
eval,,ssh_enabled:false,0.49,set irc disabled=no ports=6667,routeros_diff_verbose_export.rsc,338
train,,unclear,0.49,set disclaimer disable,user_contrib_fg100e_fos7213.conf,32369
train,,unclear,0.49,set system syslog host 10.1.1.2 any notice,saidvandeklundert_snmpv3_junos172.set,40
train,,unclear,0.49,"edit ""Modat-Scanner""",kevinguenay_fgt_70g_branch.conf,6224
train,,password_encryption:type5,0.49,key 7 fakeRadiusSharedSecret02,kitchen_sink.txt,199
train,,unclear,0.49,</collect>,user_contrib_supergate_opn25.xml,3618
eval,,unclear,0.49,set preview disable,user_contrib_fg100e_fos7213.conf,27027
eval,,unclear,0.49,set old-password ENC SH29dxniy3Fk3VGUCB7SR+2FXQqyQLo0Dab+z4ivPQOjYVXq8lC4bgxPC8Zkrw=,kevinguenay_fgt_70g_branch.conf,313
train,,password_encryption:none,0.49,enable,aoscx_dcn_arch4_core1_1.cfg,169
train,,unclear,0.49,set match-vip disable,user_contrib_fg100e_fos7213.conf,32950
eval,,logging_enabled:true,0.49,"edit ""TIMESTAMP""",kevinguenay_fgt_70g_branch.conf,8602
train,,unclear,0.49,"<service uuid=""0135f1cf-498c-4761-9dc1-108e022aa77b"">",user_contrib_supergate_opn25.xml,3082
train,,unclear,0.49,"edit ""TELNET""",kevinguenay_fgt_70g_branch.conf,8723
eval,,unclear,0.49,privilege exec level 5 show mac,user_contrib_cat9300_iosxe1712.txt,445
train,,unclear,0.49,snmp-server logging threshold oid-processing 1000,batfish_cisco_snmp.txt,82
train,,unclear,0.49,username admin,batfish_vpnv4_pe2.txt,10
eval,,unclear,0.50,privilege exec level 5 show users,user_contrib_cat9300_iosxe1712.txt,463
train,,logging_enabled:true,0.50,set loggrp read,user_contrib_fg100e_fos7213.conf,249
train,,unclear,0.50,l2transport,batfish_cisco_interface.txt,153
eval,,unclear,0.50,"set service ""PING"" ""SNMP"" ""SSH"" ""tcp8443""",kevinguenay_fgt_70g_branch.conf,11921
eval,,unclear,0.50,C7479096 B4CB2D62 EA2F505D C7B062A4 6811D95B E8250FC4 5D5D5FB8 8F27D191,config-sample.txt,105
eval,,unclear,0.50,no ip redirects,batfish_cisco_interface.txt,118
train,,unclear,0.50,set log-all disable,user_contrib_fg100e_fos7213.conf,30772
train,,unclear,0.50,set groups POC_Lab system syslog file messages archive files 10,ksator_labmgmt_qfx5100_junos173.set,24
train,,password_encryption:none,0.50,"#     (ssh-rsa key, password $6$..., no-password / class-only)",kitchen_sink.set,22
train,,unclear,0.50,"set service ""BGP"" ""PING""",kevinguenay_fgt_70g_branch.conf,11901
train,,telnet_enabled:false,0.50,set header none,user_contrib_fg100e_fos7213.conf,6481
train,,unclear,0.50,transport ipv6,iosxr_design_cst_pa3_xr752.cfg,106
train,,unclear,0.50,set IPS-logs disable,user_contrib_fg100e_fos7213.conf,34383
train,,ssh_enabled:false,0.50,set ipmac disable,user_contrib_fg100e_fos7213.conf,352
train,,logging_enabled:true,0.50,logging trap notifications,kitchen_sink.txt,49
train,,unclear,0.50,"edit ""LeakIX-Scanner""",kevinguenay_fgt_70g_branch.conf,6095
train,,unclear,0.50,"edit ""UK.NCSC-Scanner""",kevinguenay_fgt_70g_branch.conf,6062
train,,unclear,0.50,privilege exec level 5 ping,user_contrib_cat9300_iosxe1712.txt,442
train,,logging_enabled:true,0.50,logging persistent size 1000000 filesize 8192 immediate,racc_csr1_iosxe173_umbrella_sig.txt,25
eval,,unclear,0.51,32310E30 0C060355 040A1305 43697363 6F312030 1E060355 04031317 43697363,config-sample.txt,94
eval,,password_encryption:type7,0.51,encrypted-password 0123456789abcdef0123456789abcdef01234567,vyos_forum_snmpv3_user_eq13.conf,22
train,,unclear,0.51,privilege exec level 5 show lldp,user_contrib_cat9300_iosxe1712.txt,451
eval,,unclear,0.51,ECE0B207 CD84CD44 127F2372 12A822C1 0667E145 7F6B60AC 5341AA9B 71E6EA4F,racc_csr1_iosxe173_umbrella_sig.txt,104
train,,ssh_enabled:false,0.51,set csf disable,kevinguenay_fgt_70g_branch.conf,497
train,,unclear,0.51,set collector-port 6343,user_contrib_fg100e_fos7213.conf,3851
train,,password_encryption:type7,0.51,E03C0CBC 1D118C1D D0A3E143 1F9D3473 59985621 FE22D26C 066F0824 FADAC2C4,config-sample.txt,83
eval,,unclear,0.51,set netflow-sampler disable,user_contrib_fg100e_fos7213.conf,359
eval,,password_encryption:type5,0.51,key 7 fakeRadiusSharedSecret01,kitchen_sink.txt,195
train,,unclear,0.51,config service,kevinguenay_fgt_70g_branch.conf,9958
train,,ssh_enabled:true,0.51,<ssh>,opnsense_acl_test_config.xml,89
train,,ssh_enabled:true,0.51,</ssh>,opnsense_acl_test_config.xml,91
eval,,unclear,0.52,set system syslog host 10.1.1.1 any notice,saidvandeklundert_snmpv3_junos172.set,39
eval,,unclear,0.52,set dhcp-relay-service disable,user_contrib_fg100e_fos7213.conf,336
train,,unclear,0.52,"password manager user-name ""admin"" sha1 ""8db6741fec5628d6415719b59a9b0ddfd668c8a4""",aruba_central_5memberstack_rendered.cfg,18
train,,telnet_enabled:false,0.52,no lldp transmit,batfish_cisco_interface.txt,164
eval,,unclear,0.52,set nat enable,user_contrib_fg100e_fos7213.conf,32359
train,,unclear,0.52,privilege exec level 5 show cdp,user_contrib_cat9300_iosxe1712.txt,458
train,,unclear,0.52,set exclude disable,user_contrib_fg100e_fos7213.conf,23140
train,,password_encryption:none,0.52,encrypted-password $6$FAKEKITCHENSINKHASHvyos,kitchen_sink.conf,96
train,,unclear,0.52,ip ssh server algorithm mac hmac-sha2-256 hmac-sha2-512,user_contrib_cat9300_iosxe1712.txt,428
train,,ssh_enabled:true,0.52,"edit ""ServiceNow-SSH""",kevinguenay_fgt_70g_branch.conf,3008
train,,unclear,0.52,DA8F647F B7379A91 B23A9F25 8C617395 7B2180E6 1FB61195 1E8535E0 578CD897,config-sample.txt,71
eval,,logging_enabled:true,0.52,"set buffer ""POST WARNING:",user_contrib_fg100e_fos7213.conf,7171
train,,ssh_enabled:true,0.52,140 deny tcp any any eq ssh,netutils_aoscx_snmpv3_glcx1009.cfg,55
train,,logging_enabled:true,0.52,"set buffer ""PRE WARNING:",user_contrib_fg100e_fos7213.conf,7154
train,,logging_enabled:true,0.53,service running-config timestamp,karneliuk_a_eos1_eos4260.txt,20
train,,password_encryption:type7,0.53,03551D0E 04160414 A162A4D3 CD7E6B7E 775D4ECA 02E2DA5A EBC66845 300D0609,racc_csr1000v_iosxe169_bgp_ospf.txt,87
train,,unclear,0.53,set HA-logs disable,user_contrib_fg100e_fos7213.conf,34385
train,,unclear,0.53,privilege exec level 5 show version,user_contrib_cat9300_iosxe1712.txt,464
train,,ssh_enabled:false,0.53,set dsri disable,user_contrib_fg100e_fos7213.conf,32387
eval,,password_encryption:type7,0.53,551D2304 18301680 14A162A4 D3CD7E6B 7E775D4E CA02E2DA 5AEBC668 45301D06,racc_csr1000v_iosxe169_bgp_ospf.txt,86
train,,unclear,0.53,set fixedport disable,user_contrib_fg100e_fos7213.conf,32362
train,,unclear,0.53,set gui-ot disable,user_contrib_fg100e_fos7213.conf,22287
train,,banner_configured:true,0.53,"edit ""Censys-Scanner""",kevinguenay_fgt_70g_branch.conf,5600
train,,unclear,0.53,"edit ""Recyber-Scanner""",kevinguenay_fgt_70g_branch.conf,5834
train,,ssh_enabled:true,0.53,! --- SSH Hardening ---,azlocal_tor1.txt,17
train,,unclear,0.53,lldp enable,azlocal_tor1.txt,23
train,,unclear,0.53,set buffer '',user_contrib_fg100e_fos7213.conf,7338
train,,unclear,0.53,set user enable,user_contrib_fg100e_fos7213.conf,30830
train,,telnet_enabled:false,0.53,set system-execute-telnet enable,user_contrib_fg100e_fos7213.conf,223
eval,,unclear,0.53,set banned-ip-persistency disabled,user_contrib_fg100e_fos7213.conf,21359
eval,,unclear,0.53,"edit ""ONYPHE-Scanner""",kevinguenay_fgt_70g_branch.conf,6170
train,,telnet_enabled:true,0.53,set telnet disabled=yes,taqavi_initial_provisioning.rsc,19
train,,unclear,0.53,030A13F5 C238F4F9 779E4D26 DB5C0649 1B851F0D FD07788E 93257BC4 5D3E381C,racc_csr1_iosxe173_umbrella_sig.txt,93
train,,unclear,0.53,service-policy input VIPSIP_POLICY_1000_V1,ntc_carrier_interfaces.txt,69
eval,,unclear,0.53,set internet-service6 disable,user_contrib_fg100e_fos7213.conf,32339
train,,password_encryption:none,0.53,encrypted-password $6$FAKEKITCHENSINKHASHnetops,kitchen_sink.conf,101
train,,unclear,0.53,"edit ""Hadrian-Scanner""",kevinguenay_fgt_70g_branch.conf,6149
train,,password_encryption:none,0.54,username admin password 5 $5$EDLMEF$.8ntNyDgFtWzZRmwFbZsaDZbpWRh5t.QoWsJDIA76CD  role network-admin,batfish_nxos_hsrp_nxos1.txt,26
eval,,unclear,0.54,set encryption disable,user_contrib_fg100e_fos7213.conf,3792
train,,ssh_enabled:false,0.54,set net-device disable,kevinguenay_fgt_vm_hub.conf,11143
eval,,unclear,0.54,7F5C09B8 462B2A98 BE23844F 7C95D631 E1A0D30C,config-sample.txt,89
train,,unclear,0.54,<adv_dhcp6_key_info_statement_secret/>,opnsense_service_test_config.xml,57
train,,unclear,0.54,set internal-allowaccess https ping ssh,kevinguenay_fgt_70g_branch.conf,11951
eval,,unclear,0.54,neighbor MLAG-IPv4-UNDERLAY-PEER password 7 XOF6i6+qGGIs6rLk2hODlg==,batfish_eos_evpn_vlan_based_leaf.txt,258
train,,ssh_enabled:true,0.54,! SSH MANAGEMENT PLANE,ios-layer2-layer3-secure-baseline-v1.cfg,65
train,,password_encryption:type7,0.54,8885165F E6C35D15 5EF140F7 B22D01FF 95A19026 EDDA92F3 7325B5C7 E3F814B0,config-sample.txt,75
train,,unclear,0.54,ipv6 ioam timestamp,batfish_iosxe_basic_vrrp.txt,106
train,,unclear,0.54,set old-password ENC SH2DFf8VyWG3oGy7E++T9QO1HJbG42AuCeKNW643DjIbjIIed2CdhBzGzzkouw=,kevinguenay_fgt_vm_hub.conf,196
eval,,unclear,0.54,ssh server vrf management,batfish_vpnv4_pe1.txt,157
train,,password_encryption:type7,0.54,<password>$6$$Y8Et6wWDdXO2tJZRabvSfQvG2Lc8bAS6D9COIsMXEJ2KjA27wqDuAyd/CdazBQc3H3xQX.JXMKxJeRz2OqTkl.</password>,opnsense_docs_carp_ha_backup.xml,182
train,,ssh_enabled:true,0.54,! SSH Access Control List,azlocal_tor1.txt,410
train,,password_encryption:type7,0.54,FA301D06 03551D0E 04160414 2C35DCB6 9C5D75F2 D0FB5AAE 9D15ADAF D6805DFA,racc_csr1_iosxe173_umbrella_sig.txt,98
train,,unclear,0.54,set proxy-password ENC fakeEncodedSecretExampleValueNotRealXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX==,user_contrib_fg100e_fos7213.conf,21449
train,,unclear,0.54,service-policy input DATA_POLICY_100M_V1,ntc_carrier_interfaces.txt,27
eval,,ssh_enabled:false,0.55,set h2c disable,user_contrib_fg100e_fos7213.conf,31318
train,,unclear,0.55,set psksecret ENC sEDdKUQRqtyBBkEjgvrZXaqyFv7uV6VdVyyiod3NG4zduw6j4+h+qcGV0drwp+N/hV898t1t48KqnK/R8CcEg6NdvkJ0mVoLrM5chzrT16485QgjBdOCo7OOtpYvl6Mvfij7O2z7TKSjDPkG76UNgzt5ZUkOeBgWBmf0CMyRlSkAHXgpgvLkzgc5IyorYK9aOqq9dFlmMjY3dkVA,kevinguenay_fgt_vm_hub.conf,11159
train,,unclear,0.55,service-policy input system-cpp-policy,user_contrib_cat9300_iosxe1712.txt,438
train,,unclear,0.55,set age-enable disable,user_contrib_fg100e_fos7213.conf,3605
train,,password_encryption:type7,0.55,"<label for=\""ft_un\"">Password</label>",user_contrib_fg100e_fos7213.conf,8410
train,,password_encryption:type7,0.55,"<label for=\""ft_pd\"">Password</label>",user_contrib_fg100e_fos7213.conf,7772
eval,,unclear,0.55,set allow-user-access web ftp smb sftp telnet ssh vnc rdp ping,user_contrib_fg100e_fos7213.conf,27611
train,,unclear,0.55,set admin-ssh-v1 disable,user_contrib_fg100e_fos7213.conf,31
train,,unclear,0.55,<authorizedkeys/>,user_contrib_supergate_opn25.xml,68
eval,,unclear,0.55,privilege exec level 5 show arp,user_contrib_cat9300_iosxe1712.txt,456
train,,unclear,0.55,set gui-ips disable,user_contrib_fg100e_fos7213.conf,22264
eval,,password_encryption:none,0.55,"encryption-password=""fake-priv-passphrase-2""",kitchen_sink.rsc,85
eval,,unclear,0.56,526F6F74 20434130 82012230 0D06092A 864886F7 0D010101 05000382 010F0030,config-sample.txt,98
train,,unclear,0.56,privilege exec level 5 show power,user_contrib_cat9300_iosxe1712.txt,459
train,,password_encryption:none,0.56,"encrypted-password ""$6$xxxxxxx""",scottlaird-vyos-parser.conf,193
train,,password_encryption:none,0.56,"encrypted-password ""$6$xxxxxxxxx""",scottlaird-vyos-parser.conf,203
eval,,unclear,0.56,"set access radius-server 192.168.99.100 secret ""$9$FakeRadiusServerSecret00000000000""",jnprautomate_mnha_vsrx_a_junos.set,546
train,,unclear,0.56,"edit ""VoIP, Messaging & Other Applications""",kevinguenay_fgt_70g_branch.conf,8414
train,,unclear,0.56,set sflow-sampler disable,user_contrib_fg100e_fos7213.conf,360
train,,unclear,0.56,set subst disable,user_contrib_fg100e_fos7213.conf,353
eval,,unclear,0.56,A118196A 87F29657 42544324 98E0F506 B9A12AAB B321B166 963CB116 139525C5,cml_saumur_iosxe1712_pvrstp.txt,82
train,,unclear,0.56,set groups POC_Lab system syslog file messages archive size 10m,ksator_labmgmt_qfx5100_junos173.set,23
