split,label,model_guess,confidence,line,source_file,line_no,auto
eval,unclear,logging_enabled:false,0.44,no logging event port trunk-status,busterswt_spine_leaf_xk32_1_nxos9312.txt,293,rule
train,unclear,password_encryption:type7,0.45,<h1>Password Expired</h1>,user_contrib_fg100e_fos7213.conf,8850,rule
train,unclear,unclear,0.45,no bandwidth inherit,batfish_cisco_interface.txt,15,default
train,unclear,unclear,0.45,transmit disable,iosxr_design_cst_pa3_xr752.cfg,12,default
eval,unclear,unclear,0.45,set auth-mode-l2 password,user_contrib_fg100e_fos7213.conf,34675,rule
eval,unclear,unclear,0.45,"password manager user-name ""admin"" sha1",user_contrib_2930m_wc1611.cfg,18,rule
train,unclear,password_encryption:none,0.45,set save-password disable,user_contrib_fg100e_fos7213.conf,27616,rule
train,unclear,logging_enabled:true,0.45,set login-timestamp disable,user_contrib_fg100e_fos7213.conf,122,default
train,unclear,unclear,0.45,username admin password <redacted> $5$fakeSalt$fakeHashExampleValueAdminAcct0000000000  role network-admin,nautobot_gc_nxos_snmp_spine01_nxos933.txt,110,rule
train,unclear,unclear,0.45,set egress-pri-tagging disable,user_contrib_fg100e_fos7213.conf,33789,default
train,unclear,password_encryption:type7,0.45,/ip service,routeros_diff_verbose_export.rsc,363,default
train,unclear,password_encryption:none,0.45,username ec2-user privilege 15,racc_csr1_iosxe173_umbrella_sig.txt,146,default
eval,unclear,unclear,0.46,no shut,xrdtools_sr_xrd1.cfg,33,default
train,unclear,password_encryption:none,0.46,username netops password $6$TTTTTTTT$CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC role netoperator priv-lvl 2,kitchen_sink.cfg,16,REVIEW
train,unclear,unclear,0.46,"edit ""SSH Logs""",kevinguenay_fgt_70g_branch.conf,7830,rule
eval,unclear,unclear,0.46,set dhcp6-relay-service disable,user_contrib_fg100e_fos7213.conf,422,default
train,unclear,unclear,0.47,set diffserv disable,user_contrib_fg100e_fos7213.conf,26259,default
train,unclear,unclear,0.47,user admin group administrators password ciphertext xxxxx,netutils_aoscx_snmpv3_glcx1009.cfg,19,rule
train,unclear,password_encryption:none,0.47,set password ENC fakeAuditorHashGGGGGGGGGGGGGG==,kitchen_sink.conf,152,rule
train,unclear,logging_enabled:true,0.47,"edit ""Microsoft-Azure.OneDsCollector""",kevinguenay_fgt_70g_branch.conf,5933,rule
eval,unclear,password_encryption:type7,0.47,service {,houdev_vyos_dhcpv6_pd_client.conf,224,default
eval,unclear,password_encryption:type5,0.47,add address=10.0.0.10 secret=fake-radius-shared-secret-1 service=login \,kitchen_sink.rsc,88,rule
train,unclear,unclear,0.47,set log enable,kevinguenay_fgt_70g_branch.conf,11742,default
train,SKIP,unclear,0.47,<!-- Syslog — wire-format documentation; not parsed into,kitchen_sink.xml,334,rule
train,unclear,unclear,0.47,"<rulesets>28c7037e-5c14-487b-b51e-717ee75bf8e7,a3062cf6-f243-4e7b-bb71-ea78dc15ec5e,32a8ee21-960b-4652-abc0-7d616422a350,620b52e3-3445-4303-93b6-0c4260d362bb,d28b07f8-8735-432e-a91f-e4db05aecb34,77fb317e-290b-488f-8dcc-bb69731a3ea8,1daa61de-95f3-463a-885d-ec862be7f9c3,894c25df-2c3d-4af4-8937-161542e94e87,9ad23833-a5a8-4d4c-b795-df4fbf46a354,74edcab4-bee9-494c-a26c-0c2aca5ae65b,390f563b-f6fd-470d-af0a-ac44fe4bc568,77166749-9622-4e90-9918-f0aefcd24aa5,8c1e7169-9977-4e1b-b291-ee0762e2935f,3584eb27-0e5d-41a0-985e-5da99c7c0043,bca4d76a-1480-4cdd-a3c4-6fa981353e6a,45e41ca8-e52d-4664-8d56-ac72c0645dda,aa71da61-3806-4e09-8f94-3f5e8ddfc750,140353f3-3fe5-4cb6-a3a6-5042042dba4a</rulesets>",user_contrib_supergate_opn25.xml,2342,rule
train,password_encryption:type7,unclear,0.47,neighbor EVPN-OVERLAY-PEERS password 7 Jvf4RYGH+51PCxaLRIwJLA==,batfish_eos_evpn_vlan_based_leaf.txt,247,rule
train,unclear,unclear,0.47,privilege exec level 5 show,user_contrib_cat9300_iosxe1712.txt,473,default
train,unclear,password_encryption:type7,0.47,"<service uuid=""e90af2f5-c01b-4ebe-9c3e-d9c7884d6310"">",user_contrib_supergate_opn25.xml,3046,rule
train,unclear,unclear,0.47,<password>$2b$10$fakeAJhashReadonlyAccountPlaceholderObviouslySynthet111</password>,kitchen_sink.xml,126,rule
train,unclear,unclear,0.47,<td>Web Filter Service Error</td>,user_contrib_fg100e_fos7213.conf,4164,rule
train,unclear,unclear,0.48,set mode none,user_contrib_fg100e_fos7213.conf,21759,default
train,unclear,unclear,0.48,CF474486 7706BABE 9C59B385 4A00CF37 0907EE00 1A45FD19 639D3457 89A114A8,cml_saumur_iosxe1712_pvrstp.txt,68,default
train,password_encryption:type7,unclear,0.48,neighbor EVPN-OVERLAY-PEERS password 7 q+VNViP5i4rVjW1cxFv2wA==,batfish_labval_dc1_leaf2a_eos4230.txt,336,rule
train,unclear,logging_enabled:true,0.48,"set message ""%%log%%""",user_contrib_fg100e_fos7213.conf,21875,default
train,unclear,ssh_enabled:false,0.48,set udplite disabled=no,routeros_diff_verbose_export.rsc,342,default
eval,unclear,logging_enabled:true,0.48,<descr>Enable TCP extended debugging</descr>,opnsense_docs_carp_ha_backup.xml,133,rule
train,unclear,unclear,0.48,set password ENC 4bnptAcOPFpAkiq+zbZaP80c67BH+HqVLE69Vb80lEQFYWa095yu64UvaUp4uVwnfEQp/+0nI4zMNWm6v9im3APCfzBdIxobOxRArv41rlD3SSKNvETugnZbIpdq+KyWxJgxr8uwYUiLr67f5Eh6rHr8/AswEXWNHYj51RHZxImt4D2KAv3/hCEsWslPVvyar5ZLollmMjY3dkVA,kevinguenay_fgt_vm_hub.conf,10209,rule
eval,unclear,telnet_enabled:false,0.48,set infected none,user_contrib_fg100e_fos7213.conf,29030,default
train,unclear,unclear,0.48,"set system login user admin authentication encrypted-password ""$6$fakeAdmin$fakeAdminHash01234567890123""",kitchen_sink.set,47,rule
eval,unclear,unclear,0.48,30E43A8B CE18F79B 44A1B522 63A791C7 3FFA12B5 791BA096 0375A01B 77B5DEF3,cml_saumur_iosxe1712_pvrstp.txt,72,default
train,unclear,unclear,0.48,no service pad,01-global-hardening.txt,8,default
train,unclear,unclear,0.48,encrypted-password $6$8cXre.UraT7V3kMY$tK1NowJx7m3hF.ejKUsd8QTVHCUMh2aAIRpT23YZGCaQonFDvbzzd7zOvlxsP3ZtGRVIBBjCMpAED4wJlEc3X.,pc5-round1-border.conf,46,rule
train,logging_enabled:true,logging_enabled:true,0.48,"add action=syslog disabled=no prefix="""" topics=!debug",routeros_diff_verbose_export.rsc,442,REVIEW
train,unclear,unclear,0.48,service-policy input VIPSIP_POLICY_2048_V1,ntc_carrier_interfaces.txt,16,default
train,password_encryption:none,password_encryption:type7,0.48,password manager,hpe_community_2920_wb1608_dhcp_snooping.cfg,82,rule
eval,unclear,unclear,0.48,service-policy input VIPSIP_POLICY_800_V1,ntc_carrier_interfaces.txt,83,default
eval,unclear,password_encryption:type7,0.49,set type password,user_contrib_fg100e_fos7213.conf,27139,rule
train,unclear,unclear,0.49,"edit ""Shodan-Scanner""",kevinguenay_fgt_70g_branch.conf,5597,rule
train,unclear,password_encryption:type7,0.49,password 3 fedcba9876543210fedcba9876543210,akarneliuk_evpn_vxlan_mcast_leaf_c1l1_nxos939.txt,252,rule
train,logging_enabled:true,logging_enabled:true,0.49,set system syslog source-address 10.200.1.1,saidvandeklundert_snmpv3_junos172.set,50,rule
train,unclear,password_encryption:type5,0.49,"add address=10.0.0.11 secret=fake-radius-shared-secret-2 service=login,dhcp \",kitchen_sink.rsc,90,rule
train,unclear,unclear,0.49,"set description ""An SSH event has occurred.""",kevinguenay_fgt_70g_branch.conf,7831,REVIEW
eval,unclear,ssh_enabled:false,0.49,set irc disabled=no ports=6667,routeros_diff_verbose_export.rsc,338,default
train,unclear,unclear,0.49,set disclaimer disable,user_contrib_fg100e_fos7213.conf,32369,default
train,logging_enabled:true,unclear,0.49,set system syslog host 10.1.1.2 any notice,saidvandeklundert_snmpv3_junos172.set,40,rule
train,unclear,unclear,0.49,"edit ""Modat-Scanner""",kevinguenay_fgt_70g_branch.conf,6224,rule
train,unclear,password_encryption:type5,0.49,key 7 fakeRadiusSharedSecret02,kitchen_sink.txt,199,rule
train,SKIP,unclear,0.49,</collect>,user_contrib_supergate_opn25.xml,3618,rule
eval,unclear,unclear,0.49,set preview disable,user_contrib_fg100e_fos7213.conf,27027,default
eval,unclear,unclear,0.49,set old-password ENC SH29dxniy3Fk3VGUCB7SR+2FXQqyQLo0Dab+z4ivPQOjYVXq8lC4bgxPC8Zkrw=,kevinguenay_fgt_70g_branch.conf,313,rule
train,unclear,password_encryption:none,0.49,enable,aoscx_dcn_arch4_core1_1.cfg,169,default
train,unclear,unclear,0.49,set match-vip disable,user_contrib_fg100e_fos7213.conf,32950,default
eval,unclear,logging_enabled:true,0.49,"edit ""TIMESTAMP""",kevinguenay_fgt_70g_branch.conf,8602,rule
train,unclear,unclear,0.49,"<service uuid=""0135f1cf-498c-4761-9dc1-108e022aa77b"">",user_contrib_supergate_opn25.xml,3082,rule
train,unclear,unclear,0.49,"edit ""TELNET""",kevinguenay_fgt_70g_branch.conf,8723,rule
eval,unclear,unclear,0.49,privilege exec level 5 show mac,user_contrib_cat9300_iosxe1712.txt,445,default
train,unclear,unclear,0.49,snmp-server logging threshold oid-processing 1000,batfish_cisco_snmp.txt,82,rule
train,unclear,unclear,0.49,username admin,batfish_vpnv4_pe2.txt,10,default
eval,unclear,unclear,0.5,privilege exec level 5 show users,user_contrib_cat9300_iosxe1712.txt,463,default
train,unclear,logging_enabled:true,0.5,set loggrp read,user_contrib_fg100e_fos7213.conf,249,default
train,unclear,unclear,0.5,l2transport,batfish_cisco_interface.txt,153,default
eval,unclear,unclear,0.5,"set service ""PING"" ""SNMP"" ""SSH"" ""tcp8443""",kevinguenay_fgt_70g_branch.conf,11921,rule
eval,unclear,unclear,0.5,C7479096 B4CB2D62 EA2F505D C7B062A4 6811D95B E8250FC4 5D5D5FB8 8F27D191,config-sample.txt,105,default
eval,unclear,unclear,0.5,no ip redirects,batfish_cisco_interface.txt,118,default
train,unclear,unclear,0.5,set log-all disable,user_contrib_fg100e_fos7213.conf,30772,default
train,unclear,unclear,0.5,set groups POC_Lab system syslog file messages archive files 10,ksator_labmgmt_qfx5100_junos173.set,24,rule
train,SKIP,password_encryption:none,0.5,"#     (ssh-rsa key, password $6$..., no-password / class-only)",kitchen_sink.set,22,rule
train,unclear,unclear,0.5,"set service ""BGP"" ""PING""",kevinguenay_fgt_70g_branch.conf,11901,default
train,unclear,telnet_enabled:false,0.5,set header none,user_contrib_fg100e_fos7213.conf,6481,default
train,unclear,unclear,0.5,transport ipv6,iosxr_design_cst_pa3_xr752.cfg,106,default
train,unclear,unclear,0.5,set IPS-logs disable,user_contrib_fg100e_fos7213.conf,34383,default
train,unclear,ssh_enabled:false,0.5,set ipmac disable,user_contrib_fg100e_fos7213.conf,352,default
train,logging_enabled:true,logging_enabled:true,0.5,logging trap notifications,kitchen_sink.txt,49,rule
train,unclear,unclear,0.5,"edit ""LeakIX-Scanner""",kevinguenay_fgt_70g_branch.conf,6095,rule
train,unclear,unclear,0.5,"edit ""UK.NCSC-Scanner""",kevinguenay_fgt_70g_branch.conf,6062,rule
train,unclear,unclear,0.5,privilege exec level 5 ping,user_contrib_cat9300_iosxe1712.txt,442,default
train,logging_enabled:true,logging_enabled:true,0.5,logging persistent size 1000000 filesize 8192 immediate,racc_csr1_iosxe173_umbrella_sig.txt,25,rule
eval,unclear,unclear,0.51,32310E30 0C060355 040A1305 43697363 6F312030 1E060355 04031317 43697363,config-sample.txt,94,default
eval,unclear,password_encryption:type7,0.51,encrypted-password 0123456789abcdef0123456789abcdef01234567,vyos_forum_snmpv3_user_eq13.conf,22,rule
train,unclear,unclear,0.51,privilege exec level 5 show lldp,user_contrib_cat9300_iosxe1712.txt,451,default
eval,unclear,unclear,0.51,ECE0B207 CD84CD44 127F2372 12A822C1 0667E145 7F6B60AC 5341AA9B 71E6EA4F,racc_csr1_iosxe173_umbrella_sig.txt,104,default
train,unclear,ssh_enabled:false,0.51,set csf disable,kevinguenay_fgt_70g_branch.conf,497,default
train,unclear,unclear,0.51,set collector-port 6343,user_contrib_fg100e_fos7213.conf,3851,default
train,unclear,password_encryption:type7,0.51,E03C0CBC 1D118C1D D0A3E143 1F9D3473 59985621 FE22D26C 066F0824 FADAC2C4,config-sample.txt,83,default
eval,unclear,unclear,0.51,set netflow-sampler disable,user_contrib_fg100e_fos7213.conf,359,default
eval,unclear,password_encryption:type5,0.51,key 7 fakeRadiusSharedSecret01,kitchen_sink.txt,195,rule
train,unclear,unclear,0.51,config service,kevinguenay_fgt_70g_branch.conf,9958,default
train,unclear,ssh_enabled:true,0.51,<ssh>,opnsense_acl_test_config.xml,89,rule
train,SKIP,ssh_enabled:true,0.51,</ssh>,opnsense_acl_test_config.xml,91,rule
eval,logging_enabled:true,unclear,0.52,set system syslog host 10.1.1.1 any notice,saidvandeklundert_snmpv3_junos172.set,39,rule
eval,unclear,unclear,0.52,set dhcp-relay-service disable,user_contrib_fg100e_fos7213.conf,336,default
train,unclear,unclear,0.52,"password manager user-name ""admin"" sha1 ""8db6741fec5628d6415719b59a9b0ddfd668c8a4""",aruba_central_5memberstack_rendered.cfg,18,rule
train,unclear,telnet_enabled:false,0.52,no lldp transmit,batfish_cisco_interface.txt,164,default
eval,unclear,unclear,0.52,set nat enable,user_contrib_fg100e_fos7213.conf,32359,default
train,unclear,unclear,0.52,privilege exec level 5 show cdp,user_contrib_cat9300_iosxe1712.txt,458,default
train,unclear,unclear,0.52,set exclude disable,user_contrib_fg100e_fos7213.conf,23140,default
train,unclear,password_encryption:none,0.52,encrypted-password $6$FAKEKITCHENSINKHASHvyos,kitchen_sink.conf,96,rule
train,unclear,unclear,0.52,ip ssh server algorithm mac hmac-sha2-256 hmac-sha2-512,user_contrib_cat9300_iosxe1712.txt,428,rule
train,unclear,ssh_enabled:true,0.52,"edit ""ServiceNow-SSH""",kevinguenay_fgt_70g_branch.conf,3008,rule
train,unclear,unclear,0.52,DA8F647F B7379A91 B23A9F25 8C617395 7B2180E6 1FB61195 1E8535E0 578CD897,config-sample.txt,71,default
eval,unclear,logging_enabled:true,0.52,"set buffer ""POST WARNING:",user_contrib_fg100e_fos7213.conf,7171,rule
train,unclear,ssh_enabled:true,0.52,140 deny tcp any any eq ssh,netutils_aoscx_snmpv3_glcx1009.cfg,55,rule
train,unclear,logging_enabled:true,0.52,"set buffer ""PRE WARNING:",user_contrib_fg100e_fos7213.conf,7154,rule
train,unclear,logging_enabled:true,0.53,service running-config timestamp,karneliuk_a_eos1_eos4260.txt,20,default
train,unclear,password_encryption:type7,0.53,03551D0E 04160414 A162A4D3 CD7E6B7E 775D4ECA 02E2DA5A EBC66845 300D0609,racc_csr1000v_iosxe169_bgp_ospf.txt,87,default
train,unclear,unclear,0.53,set HA-logs disable,user_contrib_fg100e_fos7213.conf,34385,default
train,unclear,unclear,0.53,privilege exec level 5 show version,user_contrib_cat9300_iosxe1712.txt,464,default
train,unclear,ssh_enabled:false,0.53,set dsri disable,user_contrib_fg100e_fos7213.conf,32387,default
eval,unclear,password_encryption:type7,0.53,551D2304 18301680 14A162A4 D3CD7E6B 7E775D4E CA02E2DA 5AEBC668 45301D06,racc_csr1000v_iosxe169_bgp_ospf.txt,86,default
train,unclear,unclear,0.53,set fixedport disable,user_contrib_fg100e_fos7213.conf,32362,default
train,unclear,unclear,0.53,set gui-ot disable,user_contrib_fg100e_fos7213.conf,22287,default
train,unclear,banner_configured:true,0.53,"edit ""Censys-Scanner""",kevinguenay_fgt_70g_branch.conf,5600,rule
train,unclear,unclear,0.53,"edit ""Recyber-Scanner""",kevinguenay_fgt_70g_branch.conf,5834,rule
train,SKIP,ssh_enabled:true,0.53,! --- SSH Hardening ---,azlocal_tor1.txt,17,rule
train,unclear,unclear,0.53,lldp enable,azlocal_tor1.txt,23,default
train,unclear,unclear,0.53,set buffer '',user_contrib_fg100e_fos7213.conf,7338,rule
train,unclear,unclear,0.53,set user enable,user_contrib_fg100e_fos7213.conf,30830,default
train,telnet_enabled:true,telnet_enabled:false,0.53,set system-execute-telnet enable,user_contrib_fg100e_fos7213.conf,223,rule
eval,unclear,unclear,0.53,set banned-ip-persistency disabled,user_contrib_fg100e_fos7213.conf,21359,default
eval,unclear,unclear,0.53,"edit ""ONYPHE-Scanner""",kevinguenay_fgt_70g_branch.conf,6170,rule
train,telnet_enabled:false,telnet_enabled:true,0.53,set telnet disabled=yes,taqavi_initial_provisioning.rsc,19,rule
train,unclear,unclear,0.53,030A13F5 C238F4F9 779E4D26 DB5C0649 1B851F0D FD07788E 93257BC4 5D3E381C,racc_csr1_iosxe173_umbrella_sig.txt,93,default
train,unclear,unclear,0.53,service-policy input VIPSIP_POLICY_1000_V1,ntc_carrier_interfaces.txt,69,default
eval,unclear,unclear,0.53,set internet-service6 disable,user_contrib_fg100e_fos7213.conf,32339,default
train,unclear,password_encryption:none,0.53,encrypted-password $6$FAKEKITCHENSINKHASHnetops,kitchen_sink.conf,101,rule
train,unclear,unclear,0.53,"edit ""Hadrian-Scanner""",kevinguenay_fgt_70g_branch.conf,6149,rule
train,password_encryption:type5,password_encryption:none,0.54,username admin password 5 $5$EDLMEF$.8ntNyDgFtWzZRmwFbZsaDZbpWRh5t.QoWsJDIA76CD  role network-admin,batfish_nxos_hsrp_nxos1.txt,26,rule
eval,unclear,unclear,0.54,set encryption disable,user_contrib_fg100e_fos7213.conf,3792,rule
train,unclear,ssh_enabled:false,0.54,set net-device disable,kevinguenay_fgt_vm_hub.conf,11143,default
eval,unclear,unclear,0.54,7F5C09B8 462B2A98 BE23844F 7C95D631 E1A0D30C,config-sample.txt,89,default
train,unclear,unclear,0.54,<adv_dhcp6_key_info_statement_secret/>,opnsense_service_test_config.xml,57,REVIEW
train,unclear,unclear,0.54,set internal-allowaccess https ping ssh,kevinguenay_fgt_70g_branch.conf,11951,rule
eval,password_encryption:type7,unclear,0.54,neighbor MLAG-IPv4-UNDERLAY-PEER password 7 XOF6i6+qGGIs6rLk2hODlg==,batfish_eos_evpn_vlan_based_leaf.txt,258,rule
train,SKIP,ssh_enabled:true,0.54,! SSH MANAGEMENT PLANE,ios-layer2-layer3-secure-baseline-v1.cfg,65,rule
train,unclear,password_encryption:type7,0.54,8885165F E6C35D15 5EF140F7 B22D01FF 95A19026 EDDA92F3 7325B5C7 E3F814B0,config-sample.txt,75,default
train,unclear,unclear,0.54,ipv6 ioam timestamp,batfish_iosxe_basic_vrrp.txt,106,default
train,unclear,unclear,0.54,set old-password ENC SH2DFf8VyWG3oGy7E++T9QO1HJbG42AuCeKNW643DjIbjIIed2CdhBzGzzkouw=,kevinguenay_fgt_vm_hub.conf,196,rule
eval,unclear,unclear,0.54,ssh server vrf management,batfish_vpnv4_pe1.txt,157,rule
train,unclear,password_encryption:type7,0.54,<password>$6$$Y8Et6wWDdXO2tJZRabvSfQvG2Lc8bAS6D9COIsMXEJ2KjA27wqDuAyd/CdazBQc3H3xQX.JXMKxJeRz2OqTkl.</password>,opnsense_docs_carp_ha_backup.xml,182,rule
train,SKIP,ssh_enabled:true,0.54,! SSH Access Control List,azlocal_tor1.txt,410,rule
train,unclear,password_encryption:type7,0.54,FA301D06 03551D0E 04160414 2C35DCB6 9C5D75F2 D0FB5AAE 9D15ADAF D6805DFA,racc_csr1_iosxe173_umbrella_sig.txt,98,default
train,unclear,unclear,0.54,set proxy-password ENC fakeEncodedSecretExampleValueNotRealXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX==,user_contrib_fg100e_fos7213.conf,21449,rule
train,unclear,unclear,0.54,service-policy input DATA_POLICY_100M_V1,ntc_carrier_interfaces.txt,27,default
eval,unclear,ssh_enabled:false,0.55,set h2c disable,user_contrib_fg100e_fos7213.conf,31318,default
